u_nodes_ratings_l	v_nodes_ratings_l	ratings_l	company	UserState	UserTimeZone	ItemCity	ItemState	ItemTimeZone
1055	1194	5	0	61	28	7	16	0
2235	641	5	3	61	28	104	7	1
308	2036	5	3	61	28	6	5	3
200	477	5	4	61	28	81	14	1
1870	1448	5	3	61	28	47	0	0
358	1382	5	4	61	28	11	29	0
213	371	5	0	61	28	48	7	1
1345	2077	5	2	61	28	89	2	2
51	333	5	3	61	28	64	28	3
2266	218	5	4	61	28	49	26	2
856	1491	5	2	61	28	42	7	1
2003	344	5	1	61	28	46	25	3
368	769	5	0	61	28	76	7	1
1221	1552	5	3	61	28	50	28	3
1357	134	5	3	61	28	11	29	0
1357	2046	5	3	61	28	84	13	2
499	1807	5	3	61	28	10	7	1
1268	1634	5	3	61	28	10	7	1
2183	821	5	0	61	28	76	7	1
934	1403	5	3	61	28	57	7	1
1389	288	5	3	61	28	22	20	2
1149	590	5	2	61	28	90	21	1
109	2194	5	3	61	28	62	4	0
109	2097	5	3	61	28	25	9	2
2123	1647	5	4	61	28	104	7	1
2141	81	5	3	61	28	72	17	2
1971	473	5	3	61	28	101	18	3
1455	1825	5	0	61	28	104	7	1
126	1666	5	3	61	28	70	7	1
332	908	5	3	61	28	70	7	1
1200	910	5	0	61	28	48	7	1
657	2145	5	3	61	28	9	30	1
1512	1392	5	3	61	28	84	13	2
1408	296	5	4	61	28	64	28	3
1169	1364	5	1	61	28	90	21	1
958	1633	5	3	61	28	10	7	1
958	1347	5	3	61	28	60	29	0
1017	1178	5	0	61	28	49	26	2
112	1647	5	3	61	28	104	7	1
539	2008	5	0	61	28	90	21	1
1252	1037	5	1	61	28	65	21	1
645	1597	5	0	61	28	76	7	1
2348	1491	5	3	61	28	42	7	1
451	158	5	3	61	28	74	29	0
415	1667	5	0	61	28	76	7	1
1464	795	5	0	61	28	49	26	2
1042	2104	5	1	61	28	37	9	2
2000	419	5	3	61	28	79	11	2
1074	1027	5	3	61	28	41	7	1
572	1845	5	4	61	28	75	26	2
1410	1740	5	3	61	28	57	7	1
507	1975	5	3	61	28	92	10	0
556	1014	5	3	61	28	22	20	2
938	253	5	0	61	28	43	7	1
2149	1214	5	3	61	28	89	2	2
1227	1795	5	3	61	28	4	25	3
2338	517	5	1	61	28	39	30	1
224	136	5	2	61	28	11	29	0
224	1716	5	3	61	28	1	26	2
1762	1858	5	2	61	28	49	26	2
1559	218	5	3	61	28	49	26	2
59	769	5	0	61	28	76	7	1
15	1086	5	1	61	28	41	7	1
1812	1792	5	0	61	28	4	25	3
592	1364	5	0	61	28	90	21	1
14	1042	5	0	61	28	9	30	1
238	1335	5	4	61	28	50	28	3
1830	1766	5	0	61	28	82	7	1
1033	4	5	4	61	28	81	14	1
1672	132	5	2	61	28	39	30	1
2046	1291	5	0	61	28	43	7	1
498	1796	5	4	61	28	4	25	3
1063	1641	5	4	61	28	104	7	1
599	1064	5	4	61	28	89	2	2
2369	217	5	2	61	28	84	13	2
543	1932	5	1	61	28	0	6	0
1642	80	5	2	61	28	72	17	2
1338	807	5	4	61	28	39	30	1
1940	1846	5	2	61	28	22	20	2
2232	1342	5	4	61	28	82	7	1
698	1721	5	4	61	28	42	7	1
698	258	5	4	61	28	82	7	1
2212	1814	5	4	61	28	12	1	2
789	220	5	2	61	28	72	17	2
2288	892	5	4	61	28	64	28	3
858	1737	5	2	61	28	57	7	1
1655	1642	5	3	61	28	104	7	1
1442	224	5	0	61	28	39	30	1
1902	331	5	2	61	28	78	12	0
2206	773	5	0	61	28	12	1	2
1380	1816	5	2	61	28	12	1	2
2166	2239	5	2	61	28	2	29	0
488	1438	5	0	61	28	16	7	1
660	1641	5	4	61	28	104	7	1
1431	2147	5	2	61	28	39	30	1
1365	1321	5	0	61	28	12	1	2
2073	1251	5	2	61	28	42	7	1
2220	1714	5	3	61	28	70	7	1
942	1144	5	2	61	28	68	28	3
341	1844	5	0	61	28	75	26	2
697	770	5	0	61	28	76	7	1
384	1242	5	4	61	28	89	2	2
590	1769	5	0	61	28	41	7	1
1585	1394	5	4	61	28	81	14	1
1327	790	5	2	61	28	15	28	3
1911	1388	5	0	61	28	9	30	1
80	343	5	2	61	28	5	29	0
1599	442	5	0	61	28	84	13	2
2218	1394	5	2	61	28	81	14	1
1349	1734	5	2	61	28	57	7	1
1540	1313	5	4	61	28	40	29	0
1516	735	5	0	61	28	25	9	2
20	878	5	0	61	28	62	4	0
206	1802	5	1	61	28	24	12	0
206	916	5	3	61	28	105	24	2
1447	111	5	0	61	28	62	4	0
2001	1552	5	0	61	28	50	28	3
1713	1319	5	0	61	28	57	7	1
589	258	5	4	61	28	82	7	1
1584	1251	5	4	61	28	42	7	1
1500	1863	5	2	61	28	83	26	2
1355	1514	5	0	61	28	71	28	3
371	268	5	0	61	28	10	7	1
1069	410	5	2	61	28	49	26	2
62	1721	5	2	61	28	42	7	1
847	1515	5	4	61	28	71	28	3
944	1268	5	4	61	28	72	17	2
1309	791	5	2	61	28	50	28	3
919	977	5	4	61	28	22	20	2
419	683	5	2	61	28	5	29	0
1887	1216	5	2	61	28	22	20	2
1417	1499	5	2	61	28	26	22	2
1292	1106	5	4	61	28	57	7	1
754	1631	5	0	61	28	10	7	1
167	968	5	3	61	28	95	29	0
977	971	5	0	61	28	81	14	1
287	1666	5	0	61	28	70	7	1
176	2157	5	4	61	28	3	17	2
728	1636	5	4	61	28	10	7	1
839	1758	5	2	61	28	48	7	1
716	581	5	2	61	28	84	13	2
263	958	5	4	61	28	100	13	2
308	2224	5	2	61	28	102	29	0
1426	1641	5	3	61	28	104	7	1
723	1311	5	0	61	28	90	21	1
140	983	5	4	61	28	57	7	1
1122	1876	5	3	61	28	26	22	2
2131	226	5	4	61	28	39	30	1
1277	497	5	0	61	28	65	21	1
1277	1493	5	0	61	28	65	21	1
856	1531	5	2	61	28	16	7	1
2146	792	5	0	61	28	76	7	1
1221	297	5	2	61	28	64	28	3
175	822	5	4	61	28	42	7	1
229	1170	5	2	61	28	89	2	2
2199	4	5	4	61	28	81	14	1
499	250	5	0	61	28	76	7	1
1415	211	5	3	61	28	104	7	1
389	2242	5	2	61	28	40	29	0
1268	1554	5	0	61	28	50	28	3
1012	1147	5	4	61	28	40	29	0
1740	982	5	0	61	28	57	7	1
1646	1667	5	0	61	28	76	7	1
934	267	5	4	61	28	39	30	1
1328	1560	5	2	61	28	15	28	3
774	342	5	3	61	28	64	28	3
1678	565	5	2	61	28	102	29	0
1145	1593	5	0	61	28	76	7	1
1949	1335	5	2	61	28	50	28	3
1452	1272	5	2	61	28	90	21	1
9	2005	5	4	61	28	90	21	1
1484	1343	5	4	61	28	101	18	3
1203	1491	5	4	61	28	42	7	1
1868	770	5	4	61	28	76	7	1
527	1642	5	0	61	28	104	7	1
31	1634	5	3	61	28	10	7	1
1731	1312	5	4	61	28	90	21	1
1731	841	5	4	61	28	49	26	2
651	1164	5	3	61	28	50	28	3
651	1434	5	3	61	28	78	12	0
651	1749	5	3	61	28	82	7	1
1200	2052	5	2	61	28	84	13	2
657	1328	5	2	61	28	40	29	0
2279	1996	5	2	61	28	77	8	0
1633	1824	5	0	61	28	12	1	2
347	1272	5	2	61	28	90	21	1
2056	838	5	4	61	28	26	22	2
2353	2248	5	3	61	28	40	29	0
1169	660	5	4	61	28	43	7	1
539	1747	5	0	61	28	82	7	1
1634	930	5	4	61	28	104	7	1
1252	1776	5	0	61	28	13	7	1
724	1670	5	0	61	28	43	7	1
825	1176	5	0	61	28	57	7	1
1179	986	5	0	61	28	76	7	1
1308	434	5	4	61	28	62	4	0
1699	1376	5	0	61	28	69	10	0
645	1593	5	4	61	28	76	7	1
2348	1726	5	3	61	28	57	7	1
356	1317	5	3	61	28	4	25	3
562	769	5	4	61	28	76	7	1
690	2086	5	4	61	28	89	2	2
415	1593	5	0	61	28	76	7	1
700	581	5	1	61	28	84	13	2
1042	1499	5	1	61	28	26	22	2
572	944	5	4	61	28	72	17	2
1410	820	5	1	61	28	10	7	1
623	2102	5	2	61	28	37	9	2
507	1969	5	2	61	28	18	20	2
556	1086	5	0	61	28	41	7	1
2317	1183	5	4	61	28	33	3	2
1967	2104	5	2	61	28	37	9	2
152	495	5	2	61	28	102	29	0
1269	227	5	2	61	28	39	30	1
2338	1092	5	2	61	28	12	1	2
761	1144	5	0	61	28	68	28	3
1762	590	5	2	61	28	90	21	1
1559	995	5	3	61	28	15	28	3
970	1364	5	2	61	28	90	21	1
998	1711	5	3	61	28	42	7	1
15	572	5	0	61	28	11	29	0
1812	542	5	0	61	28	10	7	1
295	1035	5	2	61	28	44	29	0
592	1518	5	2	61	28	26	22	2
1830	1585	5	0	61	28	76	7	1
1689	1328	5	2	61	28	40	29	0
1033	1764	5	2	61	28	48	7	1
1033	1721	5	4	61	28	42	7	1
1677	1762	5	2	61	28	48	7	1
1063	1721	5	4	61	28	42	7	1
599	2206	5	4	61	28	80	29	0
2369	1394	5	2	61	28	81	14	1
543	1720	5	1	61	28	88	7	1
1897	1710	5	1	61	28	42	7	1
2036	2054	5	4	61	28	84	13	2
1432	1684	5	3	61	28	61	7	1
1400	1748	5	4	61	28	57	7	1
1246	1065	5	2	61	28	104	7	1
326	1635	5	2	61	28	10	7	1
1249	1659	5	4	61	28	104	7	1
667	1763	5	4	61	28	48	7	1
698	1816	5	2	61	28	12	1	2
2212	462	5	2	61	28	72	17	2
519	243	5	2	61	28	86	11	2
2138	621	5	4	61	28	42	7	1
957	1622	5	4	61	28	43	7	1
858	931	5	2	61	28	84	13	2
1655	650	5	4	61	28	11	29	0
1902	1906	5	2	61	28	14	9	2
1380	1959	5	2	61	28	26	22	2
671	238	5	2	61	28	90	21	1
1365	1992	5	4	61	28	77	8	0
2267	845	5	4	61	28	43	7	1
786	235	5	4	61	28	42	7	1
341	1774	5	2	61	28	48	7	1
1845	1841	5	3	61	28	22	20	2
922	111	5	0	61	28	62	4	0
1327	1576	5	2	61	28	15	28	3
297	208	5	2	61	28	37	9	2
878	2058	5	2	61	28	84	13	2
1911	355	5	0	61	28	104	7	1
1429	1762	5	2	61	28	48	7	1
1599	68	5	2	61	28	9	30	1
2218	1283	5	2	61	28	84	13	2
313	203	5	4	61	28	105	24	2
189	1149	5	0	61	28	50	28	3
1658	64	5	4	61	28	15	28	3
1620	1832	5	4	61	28	1	26	2
2105	1318	5	4	61	28	42	7	1
1516	1126	5	4	61	28	97	13	2
20	1374	5	2	61	28	60	29	0
20	1040	5	0	61	28	22	20	2
579	1847	5	4	61	28	22	20	2
867	1659	5	2	61	28	104	7	1
207	371	5	4	61	28	48	7	1
691	1634	5	4	61	28	10	7	1
206	159	5	4	61	28	72	17	2
887	46	5	4	61	28	24	12	0
1662	1505	5	2	61	28	90	21	1
1359	1635	5	4	61	28	10	7	1
1713	1555	5	4	61	28	50	28	3
1787	1641	5	2	61	28	104	7	1
1584	132	5	2	61	28	39	30	1
1500	186	5	2	61	28	104	7	1
1355	1954	5	2	61	28	105	24	2
1099	983	5	2	61	28	57	7	1
1069	1642	5	2	61	28	104	7	1
38	1091	5	4	61	28	39	30	1
944	1952	5	2	61	28	105	24	2
919	551	5	4	61	28	49	26	2
1773	186	5	2	61	28	104	7	1
1417	1325	5	2	61	28	79	11	2
383	238	5	2	61	28	90	21	1
754	769	5	0	61	28	76	7	1
883	1642	5	2	61	28	104	7	1
977	1488	5	0	61	28	60	29	0
203	1068	5	0	61	28	82	7	1
1448	1810	5	4	61	28	12	1	2
928	1176	5	2	61	28	57	7	1
408	228	5	3	61	28	39	30	1
1072	1622	5	4	61	28	43	7	1
728	1683	5	4	61	28	93	7	1
333	1144	5	4	61	28	68	28	3
21	1394	5	2	61	28	81	14	1
346	298	5	2	61	28	50	28	3
1055	186	5	4	61	28	104	7	1
200	494	5	4	61	28	48	7	1
1426	770	5	0	61	28	76	7	1
723	387	5	2	61	28	4	25	3
1870	1879	5	2	61	28	26	22	2
358	1155	5	2	61	28	5	29	0
140	289	5	2	61	28	5	29	0
2368	1371	5	2	61	28	90	21	1
1122	1375	5	2	61	28	101	18	3
1122	1731	5	2	61	28	8	7	1
1501	1419	5	4	61	28	105	24	2
213	1356	5	0	61	28	76	7	1
1345	2242	5	2	61	28	40	29	0
51	1653	5	2	61	28	54	14	1
1189	1635	5	2	61	28	10	7	1
1277	615	5	0	61	28	65	21	1
1277	1416	5	0	61	28	65	21	1
1221	1251	5	2	61	28	42	7	1
1357	1748	5	2	61	28	57	7	1
1357	2052	5	2	61	28	84	13	2
1357	982	5	2	61	28	57	7	1
499	1371	5	2	61	28	90	21	1
1646	770	5	0	61	28	76	7	1
2183	1328	5	2	61	28	40	29	0
1389	1216	5	2	61	28	22	20	2
1328	2011	5	2	61	28	90	21	1
1149	1275	5	2	61	28	6	5	3
1455	1598	5	4	61	28	93	7	1
1203	1552	5	4	61	28	50	28	3
1868	1721	5	2	61	28	42	7	1
527	770	5	4	61	28	76	7	1
126	362	5	4	61	28	43	7	1
2240	770	5	0	61	28	76	7	1
1731	1711	5	2	61	28	42	7	1
1731	1797	5	2	61	28	4	25	3
651	332	5	2	61	28	82	7	1
651	226	5	4	61	28	39	30	1
651	1056	5	4	61	28	82	7	1
1379	626	5	0	61	28	72	17	2
1016	217	5	2	61	28	84	13	2
1016	1814	5	2	61	28	12	1	2
1408	213	5	2	61	28	27	4	0
1633	219	5	0	61	28	72	17	2
